eyelib-test-fixation,2019-10-02T16:39:26
timestamp (ms),epoch (ms),target duration (ms),,,DT points,DT dmax,VT dmax
21278232,1570048766898,750,750,0,4,30,7
eye tracker,,target,,,raw gaze,,smoothed gaze,,fixation detection,,,,,fixation on object (ET)
timestamp (ms),tracking,x,y,active,x,y,x,y,ET,DT,dispersion,VT,displacement,target ID,fixation point error,count of fixations,sum duration (ms),average duration (ms),interval (ms)
238225669,true,0,0,false,688.417,444.313,684.818,452.299,true,true,22.3069,true,0.262749,
238225686,true,0,0,false,657.466,441.736,684.781,451.927,true,true,22.3069,true,0.374081,
238225702,true,0,0,false,606.113,432.655,683.623,450.996,true,true,22.3069,true,1.48585,
238225719,true,0,0,false,581.626,429.906,682.095,450.426,true,true,22.3069,true,1.63104,
238225735,true,0,0,false,523.74,423.938,677.644,449.515,true,true,23.4422,true,4.54344,
238225752,true,0,0,false,368.9,538.354,368.9,538.354,false,false,404.757,false,321.271,
238225769,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225786,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225802,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225818,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225835,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225852,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225868,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225885,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225902,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225918,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225935,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225952,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225968,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238225985,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226002,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226018,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226035,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226052,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226068,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226085,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226102,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226118,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226135,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226152,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226168,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226185,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226202,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226218,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226235,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
