eyelib-datalog,2016-10-10T16:31:12
time_sync_ms,timestamp,time_ms,tracking.bits,tracking.gaze,tracking.eyes,tracking.user,tracking.fail,tracking.lost,fixation,raw_px.x,raw_px.y,avg_px.x,avg_px.y,pupil_left.center.x,pupil_left.center.y,pupil_left.size,pupil_right.center.x,pupil_right.center.y,pupil_right.size
28669182,2016-10-10 16:31:17.759,810211583,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669198,2016-10-10 16:31:17.791,810211615,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669229,2016-10-10 16:31:17.825,810211649,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669291,2016-10-10 16:31:17.858,810211682,0x07,true,true,true,false,false,false,0,0,0,0,0,0,0,0.5492,0.4474,54.0514
28669291,2016-10-10 16:31:17.891,810211715,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28669338,2016-10-10 16:31:17.925,810211749,0x07,true,true,true,false,false,false,0,0,0,0,0,0,0,0.55,0.4472,52.4575
28669369,2016-10-10 16:31:17.958,810211782,0x07,true,true,true,false,false,false,0,0,0,0,0,0,0,0.5512,0.4472,52.3709
28669416,2016-10-10 16:31:17.991,810211815,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28669432,2016-10-10 16:31:18.025,810211849,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28669525,2016-10-10 16:31:18.058,810211882,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
